ParaControl_AMD64-1xN @ coert-ws:  ================================================================================================================================
                                   6055.00 ms |          |     SV-crop-pip |                               started cropping PIP for mesh 1 | 34.73 MB |   0.0000 MB
                                   6081.00 ms |          |     SV-crop-pip |                           successfully cropped PIP for mesh 1 | 34.87 MB |   0.1434 MB
                                   6082.00 ms |          |     SV-crop-pip |                              finished cropping PIP for mesh 1 | 34.87 MB |   0.0000 MB
                                   6082.00 ms |          |     SV-crop-pip |                                                        mesh 1 | 34.87 MB |   0.0000 MB
                                   6082.00 ms |          |     SV-crop-m2h |                                                        mesh 1 | 34.87 MB |   0.0000 MB
                                   6082.00 ms |          |     SV-crop-m2h |                                cropping M2H family for mesh 1 | 34.87 MB |   0.0041 MB
                                   6082.00 ms |          |     SV-crop-m2h |                        allocated M2H target family for mesh 1 | 34.87 MB |   0.0000 MB
                                   6162.00 ms |          |     SV-crop-m2h |                      accessed M2H reference family for mesh 1 | 46.19 MB |  11.3213 MB
                                   6162.00 ms |          |     SV-crop-m2h |   loaded existing parts of target family from disk for mesh 1 | 46.19 MB |   0.0000 MB
                                   6162.00 ms |          |     SV-crop-m2h |                       setting up merge translation for mesh 1 | 46.19 MB |   0.0000 MB
                                   6162.00 ms |          |     SV-crop-m2h |           building index containers for M2H family for mesh 1 | 46.19 MB |   0.0000 MB
                                   6162.00 ms |          |     SV-crop-m2h | successfully built index containers for M2H family for mesh 1 | 46.25 MB |   0.0573 MB
                                   6162.00 ms |          |     SV-crop-m2h |                           allocated target M2H m2h for mesh 1 | 46.25 MB |   0.0000 MB
                                   6165.00 ms |          |     SV-crop-m2h |                             cropped target M2H m2h for mesh 1 | 47.10 MB |   0.8479 MB
                                   6167.00 ms |          |     SV-crop-m2h |                          cropped target M2H family for mesh 1 | 47.41 MB |   0.3113 MB
                                   6167.00 ms |          |     SV-crop-m2h |                 removed target M2H m2h from memory for mesh 1 | 47.41 MB |   0.0000 MB
