Solver_HF_TD_AMD64 @ coert-ws:  ==============================================================================================================================
                                508.00 ms |          |     SV-crop-m2h |                      accessed M2H reference family for mesh 1 | 66.75 MB |  0.0000 MB
                                508.00 ms |          |     SV-crop-m2h |   loaded existing parts of target family from disk for mesh 1 | 66.75 MB |  0.0000 MB
                                508.00 ms |          |     SV-crop-m2h |                       setting up merge translation for mesh 1 | 66.75 MB |  0.0000 MB
                                534.00 ms |          |     SV-crop-m2h |           building index containers for M2H family for mesh 1 | 66.81 MB |  0.0573 MB
                                534.00 ms |          |     SV-crop-m2h | successfully built index containers for M2H family for mesh 1 | 66.81 MB |  0.0000 MB
                                534.00 ms |          |     SV-crop-m2h |                           allocated target M2H m2h for mesh 1 | 66.81 MB |  0.0000 MB
                                537.00 ms |          |     SV-crop-m2h |                             cropped target M2H m2h for mesh 1 | 68.82 MB |  2.0152 MB
                                541.00 ms |  --> 2nd |     SV-crop-m2h |                          cropped target M2H family for mesh 1 | 69.14 MB |  0.3154 MB
                                542.00 ms |          |     SV-crop-m2h |                 removed target M2H m2h from memory for mesh 1 | 66.81 MB | -2.3224 MB
                                542.00 ms |          |     SV-crop-m2h |                       finished cropping M2H family for mesh 1 | 66.81 MB |  0.0000 MB
                                542.00 ms |          |     SV-crop-m2h |                                                        mesh 1 | 66.81 MB |  0.0000 MB
                                542.00 ms |          |     SV-crop-m2h |                                                        Mesh 1 | 66.81 MB |  0.0000 MB
                                542.00 ms |          |     SV-crop-all |                                                    All meshes | 66.81 MB |  0.0000 MB
                                544.00 ms |          |     SV-crop-all |                    Outside MCalcResultIdentification (Solver) | 66.81 MB |  0.0000 MB
                                ==============================================================================================================================
